question,answer,context
J'aimerais savoir quelle est l'université de tutelle de la FSTT et quand cette faculté a été établie.,La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995. Elle relève de l’Université Abdelmalek Essaâdi.,Cette question cherche à connaître à la fois l'université de tutelle de la FSTT et l'année de son établissement.
Quelles informations pouvez-vous me fournir sur l'origine et l'affiliation universitaire de la Faculté des Sciences et Techniques de Tanger ?,La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995. Elle relève de l’Université Abdelmalek Essaâdi.,La question demande à la fois des détails sur l'origine et l'affiliation universitaire de la FSTT.
Quand a été inaugurée la Faculté des Sciences et Techniques de Tanger et à quelle université est-elle rattachée ?,La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995. Elle relève de l’Université Abdelmalek Essaâdi.,La question cherche à connaître à la fois la date d'inauguration de la FSTT et son affiliation universitaire.
Quelle est la date de création de la FSTT et quelle université la gère ?,La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995. Elle relève de l’Université Abdelmalek Essaâdi.,La question cherche à obtenir des informations sur à la fois la date de création de la FSTT et l'université qui la gère.
Je souhaiterais avoir plus d'informations sur les différents axes d'activités de l'établissement d'enseignement supérieur FST de Tanger.,"Les missions de la FST de Tanger comprennent la formation initiale dans les domaines scientifiques et techniques, la formation continue, ainsi que la recherche et le développement dans les domaines des sciences et techniques.",Cette question cherche à obtenir des détails sur les différents domaines d'activité de la FST de Tanger.
Dans quels domaines la Faculté des Sciences et Techniques de Tanger intervient-elle exactement?,"Les missions de la FST de Tanger comprennent la formation initiale dans les domaines scientifiques et techniques, la formation continue, ainsi que la recherche et le développement dans les domaines des sciences et techniques.",La question cherche à identifier les domaines spécifiques dans lesquels la Faculté des Sciences et Techniques de Tanger est impliquée.
Quels sont les différents volets qui composent les attributions de la FST de Tanger en tant qu'établissement universitaire?,"Les missions de la FST de Tanger comprennent la formation initiale dans les domaines scientifiques et techniques, la formation continue, ainsi que la recherche et le développement dans les domaines des sciences et techniques.",Cette question vise à comprendre les diverses responsabilités et tâches de la FST de Tanger en tant qu'établissement universitaire.
Quels sont les diplômes proposés par la FST de Tanger?,"La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants : DEUST (Diplôme d’Études Universitaires en Sciences et Techniques), LST (Diplôme de Licence en Sciences et Techniques), MST (Diplôme de Master en Sciences et Techniques), DI (Diplôme d’Ingénieur d’État), et Doctorat en Sciences et Techniques.",Cette question cherche à connaître les différents diplômes disponibles à la Faculté des Sciences et Techniques de Tanger.
Quels types de diplômes peut-on obtenir à la FST de Tanger?,"La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants : DEUST (Diplôme d’Études Universitaires en Sciences et Techniques), LST (Diplôme de Licence en Sciences et Techniques), MST (Diplôme de Master en Sciences et Techniques), DI (Diplôme d’Ingénieur d’État), et Doctorat en Sciences et Techniques.",Cette question cherche à connaître les divers types de diplômes qu'il est possible d'obtenir en étudiant à la Faculté des Sciences et Techniques de Tanger.
Quels cursus de formation sont disponibles à la FST de Tanger?,"La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants : DEUST (Diplôme d’Études Universitaires en Sciences et Techniques), LST (Diplôme de Licence en Sciences et Techniques), MST (Diplôme de Master en Sciences et Techniques), DI (Diplôme d’Ingénieur d’État), et Doctorat en Sciences et Techniques.",Cette question cherche à identifier les différents cursus de formation proposés à la Faculté des Sciences et Techniques de Tanger.
Quels niveaux de diplômes propose la Faculté des Sciences et Techniques de Tanger?,"La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants : DEUST (Diplôme d’Études Universitaires en Sciences et Techniques), LST (Diplôme de Licence en Sciences et Techniques), MST (Diplôme de Master en Sciences et Techniques), DI (Diplôme d’Ingénieur d’État), et Doctorat en Sciences et Techniques.",Cette question cherche à connaître les différents niveaux de diplômes offerts par la Faculté des Sciences et Techniques de Tanger.
Quels diplômes universitaires peut-on préparer à la FST de Tanger?,"La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants : DEUST (Diplôme d’Études Universitaires en Sciences et Techniques), LST (Diplôme de Licence en Sciences et Techniques), MST (Diplôme de Master en Sciences et Techniques), DI (Diplôme d’Ingénieur d’État), et Doctorat en Sciences et Techniques.",Cette question cherche à connaître les diplômes universitaires qu'il est possible de préparer en étudiant à la Faculté des Sciences et Techniques de Tanger.
Quels sont les principaux diplômes délivrés par la FST de Tanger?,"La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants : DEUST (Diplôme d’Études Universitaires en Sciences et Techniques), LST (Diplôme de Licence en Sciences et Techniques), MST (Diplôme de Master en Sciences et Techniques), DI (Diplôme d’Ingénieur d’État), et Doctorat en Sciences et Techniques.",Cette question cherche à connaître les diplômes principaux délivrés par la Faculté des Sciences et Techniques de Tanger.
Quels diplômes sont offerts par la FST de Tanger?,"La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants : DEUST (Diplôme d’Études Universitaires en Sciences et Techniques), LST (Diplôme de Licence en Sciences et Techniques), MST (Diplôme de Master en Sciences et Techniques), DI (Diplôme d’Ingénieur d’État), et Doctorat en Sciences et Techniques.",Cette question cherche à connaître les différents diplômes offerts par la Faculté des Sciences et Techniques de Tanger.
Quelles formations diplômantes sont disponibles à la FST de Tanger?,"La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants : DEUST (Diplôme d’Études Universitaires en Sciences et Techniques), LST (Diplôme de Licence en Sciences et Techniques), MST (Diplôme de Master en Sciences et Techniques), DI (Diplôme d’Ingénieur d’État), et Doctorat en Sciences et Techniques.",Cette question cherche à connaître les formations diplômantes disponibles à la Faculté des Sciences et Techniques de Tanger.
Quels sont les diplômes délivrés par la Faculté des Sciences et Techniques de Tanger?,"La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants : DEUST (Diplôme d'Etudes Universitaire en Sciences et Techniques), LST (Diplôme de Licence en Sciences et Techniques), MST (Diplôme de Master en Sciences et Techniques), DI (Diplôme d'Ingénieur d'État), et Doctorat en Sciences et Techniques.",Cette question cherche à connaître les différents diplômes délivrés par la Faculté des Sciences et Techniques de Tanger.
Peux-tu me lister les différents cursus proposés par la FST Tanger?,"La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants : DEUST (Diplôme d'Etudes Universitaire en Sciences et Techniques), LST (Diplôme de Licence en Sciences et Techniques), MST (Diplôme de Master en Sciences et Techniques), DI (Diplôme d'Ingénieur d'État), et Doctorat en Sciences et Techniques.",Cette question vise à obtenir une liste des différents cursus de formation proposés par la Faculté des Sciences et Techniques de Tanger.
Quelles sont les formations disponibles à la Faculté des Sciences et Techniques de Tanger?,"La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants : DEUST (Diplôme d'Etudes Universitaire en Sciences et Techniques), LST (Diplôme de Licence en Sciences et Techniques), MST (Diplôme de Master en Sciences et Techniques), DI (Diplôme d'Ingénieur d'État), et Doctorat en Sciences et Techniques.",Cette question cherche à connaître les formations disponibles à la Faculté des Sciences et Techniques de Tanger.
Je souhaite poursuivre des études scientifiques et techniques à Tanger. Quelles sont les options proposées par la FST?,"La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants : DEUST (Diplôme d'Etudes Universitaire en Sciences et Techniques), LST (Diplôme de Licence en Sciences et Techniques), MST (Diplôme de Master en Sciences et Techniques), DI (Diplôme d'Ingénieur d'État), et Doctorat en Sciences et Techniques.",Cette question cherche à savoir quelles sont les options d'études scientifiques et techniques disponibles à la Faculté des Sciences et Techniques de Tanger.
Peux-tu m'éclairer sur les différents niveaux de diplômes que je peux obtenir en étudiant à la Faculté des Sciences et Techniques de Tanger?,"La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants : DEUST (Diplôme d'Etudes Universitaire en Sciences et Techniques), LST (Diplôme de Licence en Sciences et Techniques), MST (Diplôme de Master en Sciences et Techniques), DI (Diplôme d'Ingénieur d'État), et Doctorat en Sciences et Techniques.",Cette question cherche à obtenir des informations sur les différents niveaux de diplômes disponibles à la Faculté des Sciences et Techniques de Tanger.
Quels types de diplômes sont accessibles via la FST de Tanger pour les cursus scientifiques et techniques?,"La FST de Tanger propose des diplômes tels que le DEUST (Diplôme d'Etudes Universitaires en Sciences et Techniques), la LST (Licence en Sciences et Techniques), la MST (Master en Sciences et Techniques), le DI (Diplôme d'Ingénieur d'État), et le Doctorat en Sciences et Techniques.",Cette question cherche à connaître les différents types de diplômes accessibles via la FST de Tanger pour les cursus scientifiques et techniques.
"Quels sont les diplômes reconnus que je peux obtenir à la Faculté des Sciences et Techniques de Tanger, du niveau Licence au Doctorat?","La FST de Tanger offre des diplômes tels que le DEUST (Diplôme d'Etudes Universitaires en Sciences et Techniques), la LST (Licence en Sciences et Techniques), la MST (Master en Sciences et Techniques), le DI (Diplôme d'Ingénieur d'État), et le Doctorat en Sciences et Techniques.","Cette question cherche à savoir quels sont les diplômes reconnus que l'on peut obtenir à la Faculté des Sciences et Techniques de Tanger, du niveau Licence au Doctorat."
Quels domaines sont couverts par les programmes de formation continue à la FST de Tanger?,"Les programmes de formation continue à la FST de Tanger couvrent un large éventail de domaines scientifiques et techniques, notamment les sciences de l'ingénierie informatique, civile, mécanique, électrotechnique, industrielle, et autres.",Cette question vise à connaître les domaines couverts par les programmes de formation continue à la Faculté des Sciences et Techniques de Tanger.
Quels sont les domaines d'étude disponibles dans les programmes de formation continue à la FST de Tanger?,"Les programmes de formation continue à la FST de Tanger couvrent un large éventail de domaines d'étude, notamment les sciences de l'ingénierie informatique, civile, mécanique, électrotechnique, industrielle, et autres.",Cette question vise à connaître les domaines d'étude disponibles dans les programmes de formation continue à la Faculté des Sciences et Techniques de Tanger.
Quels secteurs sont inclus dans les programmes de formation continue à la FST de Tanger?,"Les programmes de formation continue à la FST de Tanger couvrent un large éventail de secteurs, notamment les sciences de l'ingénierie informatique, civile, mécanique, électrotechnique, industrielle, et autres.",Cette question vise à connaître les secteurs inclus dans les programmes de formation continue à la Faculté des Sciences et Techniques de Tanger.
Dans quels domaines la FST de Tanger offre-t-elle des programmes de formation continue?,"La FST de Tanger offre des programmes de formation continue dans divers domaines, notamment les sciences de l'ingénierie informatique, civile, mécanique, électrotechnique, industrielle, et autres.",Cette question vise à connaître les domaines dans lesquels la Faculté des Sciences et Techniques de Tanger propose des programmes de formation continue.
Quels domaines technologiques sont abordés dans les programmes de formation continue à la FST de Tanger?,"Les programmes de formation continue à la FST de Tanger abordent divers domaines technologiques tels que les sciences de l'ingénierie informatique, civile, mécanique, électrotechnique, industrielle, et autres.",Cette question vise à connaître les domaines technologiques abordés dans les programmes de formation continue à la Faculté des Sciences et Techniques de Tanger.
Quels domaines de l'ingénierie sont inclus dans la formation continue à la FST de Tanger?,"La formation continue à la FST de Tanger inclut divers domaines de l'ingénierie tels que l'informatique, le génie civil, le génie mécanique, le génie électrique, le génie industriel, et autres.",Cette question vise à connaître les domaines de l'ingénierie inclus dans la formation continue à la Faculté des Sciences et Techniques de Tanger.
Quels programmes de formation continue sont disponibles à la FST de Tanger?,"La FST de Tanger propose différents programmes de formation continue dans les domaines des sciences et de la technologie, notamment l'informatique, le génie civil, le génie mécanique, le génie électrique, le génie industriel, et autres.",Cette question vise à connaître les programmes de formation continue disponibles à la Faculté des Sciences et Techniques de Tanger.
Quels domaines scientifiques et techniques sont couverts par la formation continue à la FST de Tanger?,"La formation continue à la FST de Tanger couvre divers domaines scientifiques et techniques tels que l'informatique, le génie civil, le génie mécanique, le génie électrique, le génie industriel, et autres.",Cette question vise à connaître les domaines scientifiques et techniques couverts par la formation continue à la Faculté des Sciences et Techniques de Tanger.
Quels domaines sont couverts par les programmes de formation continue à la FST de Tanger?,"Les programmes de formation continue à la FST de Tanger couvrent un large éventail de domaines tels que l'informatique, le génie civil, le génie mécanique, le génie électrique, le génie industriel, et autres.",Cette question vise à connaître les domaines couverts par les programmes de formation continue à la Faculté des Sciences et Techniques de Tanger.
Quelles sont les spécialités proposées dans les formations continues à la FST de Tanger?,"La FST de Tanger propose diverses spécialités dans les formations continues, notamment en informatique, génie civil, génie mécanique, génie électrique, génie industriel, et autres.",Cette question vise à connaître les spécialités proposées dans les formations continues à la Faculté des Sciences et Techniques de Tanger.
Peux-tu me donner des exemples de domaines techniques couverts par la formation continue de la Faculté des Sciences et Techniques de Tanger?,Vous recherchez des informations sur les domaines techniques couverts par la formation continue à la Faculté des Sciences et Techniques de Tanger.,"Les programmes de formation continue de la FST de Tanger couvrent des programmes variés dans les domaines des sciences et de la technologie tels que les sciences de l'ingénierie informatique, civile, mécanique, électrotechnique, industrielle, et autres."
Je souhaite suivre une formation continue dans un domaine technique à Tanger. Quelles options la FST propose-t-elle?,Vous êtes intéressé par les options de formation continue dans les domaines techniques offertes par la Faculté des Sciences et Techniques de Tanger.,"Les programmes de formation continue de la FST de Tanger couvrent des programmes variés dans les domaines des sciences et de la technologie tels que les sciences de l'ingénierie informatique, civile, mécanique, électrotechnique, industrielle, et autres."
Dans quels secteurs scientifiques et techniques la FST de Tanger offre-t-elle des programmes de formation continue?,Vous cherchez à savoir dans quels secteurs scientifiques et techniques la Faculté des Sciences et Techniques de Tanger propose des programmes de formation continue.,"Les programmes de formation continue de la FST de Tanger couvrent des programmes variés dans les domaines des sciences et de la technologie tels que les sciences de l'ingénierie informatique, civile, mécanique, électrotechnique, industrielle, et autres."
Comment est structurée la recherche scientifique à la FST de Tanger?,Vous souhaitez en savoir plus sur l'organisation de la recherche scientifique à la Faculté des Sciences et Techniques de Tanger.,"La recherche scientifique à la FST de Tanger est structurée autour de 7 laboratoires, 11 équipes de recherche, 2 centres (CDI: Centre de Développement et de l’Innovation et le CFA: Centre de Fabrication Additive) et un Observatoire Digital de l’Environnement."
Quelle est l'organisation de la recherche scientifique à la FST de Tanger?,Vous souhaitez connaître l'organisation spécifique de la recherche scientifique à la Faculté des Sciences et Techniques de Tanger.,"La recherche scientifique à la FST de Tanger est structurée autour de 7 laboratoires, 11 équipes de recherche, 2 centres (CDI: Centre de Développement et de l’Innovation et le CFA: Centre de Fabrication Additive) et un Observatoire Digital de l’Environnement."
Quels sont les principaux composants de la recherche scientifique à la FST de Tanger?,Vous cherchez à connaître les principaux composants de la recherche scientifique à la Faculté des Sciences et Techniques de Tanger.,"La recherche scientifique à la FST de Tanger est structurée autour de 7 laboratoires, 11 équipes de recherche, 2 centres (CDI: Centre de Développement et de l’Innovation et le CFA: Centre de Fabrication Additive) et un Observatoire Digital de l’Environnement."
Quels laboratoires et centres de recherche existent à la FST de Tanger?,Vous souhaitez savoir quels laboratoires et centres de recherche sont présents à la Faculté des Sciences et Techniques de Tanger.,"La recherche scientifique à la FST de Tanger est structurée autour de 7 laboratoires, 11 équipes de recherche, 2 centres (CDI: Centre de Développement et de l’Innovation et le CFA: Centre de Fabrication Additive) et un Observatoire Digital de l’Environnement."
Quelles sont les principales entités de recherche de la Faculté des Sciences et Techniques de Tanger?,Vous vous intéressez aux principales entités de recherche de la Faculté des Sciences et Techniques de Tanger.,"La recherche scientifique à la FST de Tanger est structurée autour de 7 laboratoires, 11 équipes de recherche, 2 centres (CDI: Centre de Développement et de l'Innovation et le CFA: Centre de Fabrication Additive) et un Observatoire Digital de l'Environnement."
Peux-tu me donner des détails sur l'organisation de la recherche à la FST Tanger?,Vous souhaitez obtenir des détails spécifiques sur l'organisation de la recherche à la Faculté des Sciences et Techniques de Tanger.,"La recherche scientifique à la FST de Tanger est structurée autour de 7 laboratoires, 11 équipes de recherche, 2 centres (CDI: Centre de Développement et de l'Innovation et le CFA: Centre de Fabrication Additive) et un Observatoire Digital de l'Environnement."
Je suis intéressé par les activités de recherche menées à la Faculté des Sciences et Techniques de Tanger. Comment sont-elles organisées?,Vous êtes intéressé par les activités de recherche menées à la Faculté des Sciences et Techniques de Tanger et vous souhaitez en savoir plus sur leur organisation.,"La recherche scientifique à la FST de Tanger est structurée autour de 7 laboratoires, 11 équipes de recherche, 2 centres (CDI: Centre de Développement et de l'Innovation et le CFA: Centre de Fabrication Additive) et un Observatoire Digital de l'Environnement."
Quelles sont les principales structures dédiées à la recherche scientifique au sein de la FST Tanger?,Vous cherchez à connaître les principales structures dédiées à la recherche scientifique à la Faculté des Sciences et Techniques de Tanger.,"La recherche scientifique à la FST de Tanger est structurée autour de 7 laboratoires, 11 équipes de recherche, 2 centres (CDI: Centre de Développement et de l'Innovation et le CFA: Centre de Fabrication Additive) et un Observatoire Digital de l'Environnement."
Quels centres et observatoires font partie de la recherche scientifique à la FST de Tanger?,Vous souhaitez connaître les centres et observatoires inclus dans la recherche scientifique à la Faculté des Sciences et Techniques de Tanger.,"La recherche scientifique à la FST de Tanger est structurée autour de 7 laboratoires, 11 équipes de recherche, 2 centres (CDI: Centre de Développement et de l’Innovation et le CFA: Centre de Fabrication Additive) et un Observatoire Digital de l’Environnement."
Qu'est-ce que le FabLab Green Lab?,Vous vous intéressez à en savoir plus sur le FabLab Green Lab à la Faculté des Sciences et Techniques de Tanger.,"Le Green Lab est un FabLab créé pour encourager l’innovation, la créativité et l’esprit d’entreprise chez les étudiants et les membres de la communauté locale."
Quelle est la mission du Green Lab?,Vous souhaitez comprendre quelle est la mission du FabLab Green Lab à la Faculté des Sciences et Techniques de Tanger.,"Le Green Lab est un FabLab créé pour encourager l’innovation, la créativité et l’esprit d’entreprise chez les étudiants et les membres de la communauté locale."
À quoi sert le Green Lab?,Vous voulez savoir quel est l'objectif ou l'utilité du FabLab Green Lab à la Faculté des Sciences et Techniques de Tanger.,"Le Green Lab est un FabLab créé pour encourager l’innovation, la créativité et l’esprit d’entreprise chez les étudiants et les membres de la communauté locale."
Quel est l'objectif principal du FabLab Green Lab?,Vous vous demandez quel est le but principal du FabLab Green Lab à la Faculté des Sciences et Techniques de Tanger.,"Le Green Lab est un FabLab créé pour encourager l’innovation, la créativité et l’esprit d’entreprise chez les étudiants et les membres de la communauté locale."
Pourquoi le Green Lab a-t-il été créé?,Vous recherchez des informations sur les motivations derrière la création du FabLab Green Lab à la Faculté des Sciences et Techniques de Tanger.,"Le Green Lab est un FabLab créé pour encourager l’innovation, la créativité et l’esprit d’entreprise chez les étudiants et les membres de la communauté locale."
En quoi consiste le Green Lab?,Vous voulez comprendre en quoi consiste concrètement le FabLab Green Lab à la Faculté des Sciences et Techniques de Tanger.,"Le Green Lab est un FabLab créé pour encourager l’innovation, la créativité et l’esprit d’entreprise chez les étudiants et les membres de la communauté locale."
Quels sont les objectifs du FabLab Green Lab?,Vous cherchez à connaître les objectifs du FabLab Green Lab à la Faculté des Sciences et Techniques de Tanger.,"Le Green Lab est un FabLab créé pour encourager l’innovation, la créativité et l’esprit d’entreprise chez les étudiants et les membres de la communauté locale."
Quelles initiatives sont encouragées par le Green Lab?,Vous voulez savoir quelles initiatives ou actions sont promues par le FabLab Green Lab à la Faculté des Sciences et Techniques de Tanger.,"Le Green Lab est un FabLab créé pour encourager l’innovation, la créativité et l’esprit d’entreprise chez les étudiants et les membres de la communauté locale."
Quel est l'objectif du Green Lab au sein de la FST de Tanger?,Vous souhaitez comprendre quel rôle le FabLab Green Lab joue au sein de la Faculté des Sciences et Techniques de Tanger.,"Le Green Lab est un FabLab créé pour encourager l'innovation, la créativité et l'esprit d'entreprise chez les étudiants et les membres de la communauté locale."
Peux-tu m'expliquer la mission du FabLab Green Lab à la Faculté des Sciences et Techniques de Tanger?,Vous avez besoin d'une explication détaillée sur la mission du FabLab Green Lab à la Faculté des Sciences et Techniques de Tanger.,"Le Green Lab est un FabLab créé pour encourager l'innovation, la créativité et l'esprit d'entreprise chez les étudiants et les membres de la communauté locale."
Quel est le rôle du Green Lab au sein de la FST Tanger?,Vous souhaitez comprendre le rôle du FabLab Green Lab au sein de la Faculté des Sciences et Techniques de Tanger.,"Le Green Lab est un FabLab créé pour encourager l'innovation, la créativité et l'esprit d'entreprise chez les étudiants et les membres de la communauté locale."
J'ai entendu parler du FabLab Green Lab à la Faculté des Sciences et Techniques de Tanger. Peux-tu m'en dire plus sur ce qu'est cette installation?,Vous avez entendu parler du FabLab Green Lab à la Faculté des Sciences et Techniques de Tanger et vous voulez en savoir plus sur ce qu'est cette installation.,"Le Green Lab est un FabLab créé pour encourager l'innovation, la créativité et l'esprit d'entreprise chez les étudiants et les membres de la communauté locale."
